https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1651262400,2022-04-29 20:00:00,AAVE/BTC,0.00405056,0.00405056,0.00405056,0.00405056,0.00000000,0.0
1651258800,2022-04-29 19:00:00,AAVE/BTC,0.00405056,0.00405056,0.00405056,0.00405056,1.00000000,0.00405056
1651255200,2022-04-29 18:00:00,AAVE/BTC,0.00404627,0.00404627,0.00404627,0.00404627,0.00000000,0.0
1651251600,2022-04-29 17:00:00,AAVE/BTC,0.00404627,0.00404627,0.00404627,0.00404627,4.18049709,0.0169154199603543
1651248000,2022-04-29 16:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651244400,2022-04-29 15:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651240800,2022-04-29 14:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651237200,2022-04-29 13:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651233600,2022-04-29 12:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651230000,2022-04-29 11:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,0.00000000,0.0
1651226400,2022-04-29 10:00:00,AAVE/BTC,0.00410925,0.00410925,0.00410925,0.00410925,1.95200000,0.008021256
1651222800,2022-04-29 09:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651219200,2022-04-29 08:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651215600,2022-04-29 07:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651212000,2022-04-29 06:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651208400,2022-04-29 05:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651204800,2022-04-29 04:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651201200,2022-04-29 03:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651197600,2022-04-29 02:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651194000,2022-04-29 01:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651190400,2022-04-29 00:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651186800,2022-04-28 23:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
